time_s,n_citric_g,x_piston_cm,v_piston_cm_s,s_vehicle_m,v_vehicle_cm_s,n_co2_gas_mol,n_co2_dissolved_mol,P_reactor_bar,n_air_mol
0.364550,242.852447,15.000000,0.000000,0.000000,0.000000,0.00230408,0.00064364,0.0208,0.00000000
0.369550,242.850425,15.000000,0.000000,0.000000,0.000000,0.00233566,0.00065168,0.0211,0.00000000
0.374550,242.848402,15.000000,0.000000,0.000000,0.000000,0.00236724,0.00065969,0.0214,0.00000000
0.379550,242.846380,15.000000,0.000000,0.000000,0.000000,0.00239882,0.00066769,0.0217,0.00000000
0.384550,242.844358,15.000000,0.000000,0.000000,0.000000,0.00243039,0.00067567,0.0219,0.00000000
0.389550,242.842335,15.000000,0.000000,0.000000,0.000000,0.00246197,0.00068363,0.0222,0.00000000
0.394550,242.840313,15.000000,0.000000,0.000000,0.000000,0.00249355,0.00069157,0.0225,0.00000000
0.399550,242.838291,15.000000,0.000000,0.000000,0.000000,0.00252513,0.00069948,0.0228,0.00000000
0.404550,242.836269,15.000000,0.000000,0.000000,0.000000,0.00255670,0.00070738,0.0231,0.00000000
0.409550,242.834247,15.000000,0.000000,0.000000,0.000000,0.00258828,0.00071526,0.0234,0.00000000
0.414550,242.832225,15.000000,0.000000,0.000000,0.000000,0.00261985,0.00072312,0.0236,0.00000000
0.419550,242.830203,15.000000,0.000000,0.000000,0.000000,0.00265143,0.00073096,0.0239,0.00000000
0.424550,242.828181,15.000000,0.000000,0.000000,0.000000,0.00268300,0.00073878,0.0242,0.00000000
0.429550,242.826159,15.000000,0.000000,0.000000,0.000000,0.00271457,0.00074658,0.0245,0.00000000
0.434550,242.824137,15.000000,0.000000,0.000000,0.000000,0.00274615,0.00075436,0.0248,0.00000000
0.439550,242.822115,15.000000,0.000000,0.000000,0.000000,0.00277772,0.00076212,0.0251,0.00000000
0.444550,242.820093,15.000000,0.000000,0.000000,0.000000,0.00280929,0.00076986,0.0254,0.00000000
0.449550,242.818071,15.000000,0.000000,0.000000,0.000000,0.00284086,0.00077759,0.0256,0.00000000
0.454550,242.816050,15.000000,0.000000,0.000000,0.000000,0.00287243,0.00078529,0.0259,0.00000000
0.459550,242.814028,15.000000,0.000000,0.000000,0.000000,0.00290400,0.00079297,0.0262,0.00000000
0.464550,242.812006,15.000000,0.000000,0.000000,0.000000,0.00293557,0.00080064,0.0265,0.00000000
0.469550,242.809984,15.000000,0.000000,0.000000,0.000000,0.00296714,0.00080828,0.0268,0.00000000
0.474550,242.807963,15.000000,0.000000,0.000000,0.000000,0.00299871,0.00081591,0.0271,0.00000000
0.479550,242.805941,15.000000,0.000000,0.000000,0.000000,0.00303027,0.00082352,0.0274,0.00000000
0.484550,242.803920,15.000000,0.000000,0.000000,0.000000,0.00306184,0.00083111,0.0276,0.00000000
0.489550,242.801898,15.000000,0.000000,0.000000,0.000000,0.00309341,0.00083868,0.0279,0.00000000
0.494550,242.799877,15.000000,0.000000,0.000000,0.000000,0.00312497,0.00084623,0.0282,0.00000000
0.499550,242.797855,15.000000,0.000000,0.000000,0.000000,0.00315654,0.00085376,0.0285,0.00000000
0.504550,242.795834,15.000000,0.000000,0.000000,0.000000,0.00318810,0.00086127,0.0288,0.00000000
0.509550,242.793813,15.000000,0.000000,0.000000,0.000000,0.00321967,0.00086877,0.0291,0.00000000
0.514550,242.791791,15.000000,0.000000,0.000000,0.000000,0.00325123,0.00087624,0.0293,0.00000000
0.519550,242.789770,15.000000,0.000000,0.000000,0.000000,0.00328279,0.00088370,0.0296,0.00000000
0.524550,242.787749,15.000000,0.000000,0.000000,0.000000,0.00331435,0.00089114,0.0299,0.00000000
0.529550,242.785728,15.000000,0.000000,0.000000,0.000000,0.00334592,0.00089856,0.0302,0.00000000
0.534550,242.783706,15.000000,0.000000,0.000000,0.000000,0.00337748,0.00090596,0.0305,0.00000000
0.539550,242.781685,15.000000,0.000000,0.000000,0.000000,0.00340904,0.00091334,0.0308,0.00000000
0.544550,242.779664,15.000000,0.000000,0.000000,0.000000,0.00344060,0.00092071,0.0311,0.00000000
0.549550,242.777643,15.000000,0.000000,0.000000,0.000000,0.00347216,0.00092805,0.0313,0.00000000
0.554550,242.775622,15.000000,0.000000,0.000000,0.000000,0.00350371,0.00093538,0.0316,0.00000000
0.559550,242.773601,15.000000,0.000000,0.000000,0.000000,0.00353527,0.00094269,0.0319,0.00000000
0.564550,242.771580,15.000000,0.000000,0.000000,0.000000,0.00356683,0.00094998,0.0322,0.00000000
0.569550,242.769559,15.000000,0.000000,0.000000,0.000000,0.00359839,0.00095725,0.0325,0.00000000
0.574550,242.767538,15.000000,0.000000,0.000000,0.000000,0.00362994,0.00096451,0.0328,0.00000000
0.579550,242.765518,15.000000,0.000000,0.000000,0.000000,0.00366150,0.00097174,0.0331,0.00000000
0.584550,242.763497,15.000000,0.000000,0.000000,0.000000,0.00369305,0.00097896,0.0333,0.00000000
0.589550,242.761476,15.000000,0.000000,0.000000,0.000000,0.00372461,0.00098616,0.0336,0.00000000
0.594550,242.759455,15.000000,0.000000,0.000000,0.000000,0.00375616,0.00099334,0.0339,0.00000000
0.599550,242.757435,15.000000,0.000000,0.000000,0.000000,0.00378772,0.00100051,0.0342,0.00000000
0.604550,242.755414,15.000000,0.000000,0.000000,0.000000,0.00381927,0.00100766,0.0345,0.00000000
0.609550,242.753393,15.000000,0.000000,0.000000,0.000000,0.00385082,0.00101478,0.0348,0.00000000
0.614550,242.751373,15.000000,0.000000,0.000000,0.000000,0.00388237,0.00102190,0.0350,0.00000000
0.619550,242.749352,15.000000,0.000000,0.000000,0.000000,0.00391392,0.00102899,0.0353,0.00000000
0.624550,242.747332,15.000000,0.000000,0.000000,0.000000,0.00394548,0.00103606,0.0356,0.00000000
0.629550,242.745311,15.000000,0.000000,0.000000,0.000000,0.00397703,0.00104312,0.0359,0.00000000
0.634550,242.743291,15.000000,0.000000,0.000000,0.000000,0.00400857,0.00105016,0.0362,0.00000000
0.639550,242.741270,15.000000,0.000000,0.000000,0.000000,0.00404012,0.00105719,0.0365,0.00000000
0.644550,242.739250,15.000000,0.000000,0.000000,0.000000,0.00407167,0.00106419,0.0368,0.00000000
0.649550,242.737230,15.000000,0.000000,0.000000,0.000000,0.00410322,0.00107118,0.0370,0.00000000
0.654550,242.735210,15.000000,0.000000,0.000000,0.000000,0.00413477,0.00107815,0.0373,0.00000000
0.659550,242.733189,15.000000,0.000000,0.000000,0.000000,0.00416631,0.00108510,0.0376,0.00000000
0.664550,242.731169,15.000000,0.000000,0.000000,0.000000,0.00419786,0.00109204,0.0379,0.00000000
0.669550,242.729149,15.000000,0.000000,0.000000,0.000000,0.00422940,0.00109896,0.0382,0.00000000
0.674550,242.727129,15.000000,0.000000,0.000000,0.000000,0.00426095,0.00110586,0.0385,0.00000000
0.679550,242.725109,15.000000,0.000000,0.000000,0.000000,0.00429249,0.00111274,0.0387,0.00000000
0.684550,242.723089,15.000000,0.000000,0.000000,0.000000,0.00432404,0.00111961,0.0390,0.00000000
0.689550,242.721069,15.000000,0.000000,0.000000,0.000000,0.00435558,0.00112646,0.0393,0.00000000
0.694550,242.719049,15.000000,0.000000,0.000000,0.000000,0.00438712,0.00113329,0.0396,0.00000000
0.699550,242.717029,15.000000,0.000000,0.000000,0.000000,0.00441866,0.00114010,0.0399,0.00000000
0.704550,242.715009,15.000000,0.000000,0.000000,0.000000,0.00445021,0.00114690,0.0402,0.00000000
